repo,workflow,risk_type,priority,evidence,recommendation
claude-code-action,.github/workflows/test-custom-executables.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/test-custom-executables.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-mcp-servers.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/test-mcp-servers.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-mcp-servers.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-settings.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/test-settings.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-settings.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-settings.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-settings.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-structured-output.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/test-structured-output.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-structured-output.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-structured-output.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-structured-output.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-structured-output.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
dexter,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
dexter,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: oven-sh/setup-bun@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
dexter,.github/workflows/rebase-on-label.yml,pull_request_target,P0,El workflow usa pull_request_target.,Evitar pull_request_target para codigo de PR externo o aislarlo sin checkout de codigo no confiable.
dexter,.github/workflows/rebase-on-label.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
dexter,.github/workflows/rebase-on-label.yml,write_permission,P1,El workflow declara contents: write.,Justificar el permiso y limitarlo al job que lo necesita.
dexter,.github/workflows/rebase-on-label.yml,write_permission,P1,El workflow declara pull-requests: write.,Justificar el permiso y limitarlo al job que lo necesita.
dexter,.github/workflows/rebase-on-label.yml,unpinned_action,P2,Accion no fijada por SHA: actions/github-script@v7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
dexter,.github/workflows/rebase-on-label.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
dexter,.github/workflows/rebase-on-label.yml,unpinned_action,P2,Accion no fijada por SHA: actions/github-script@v7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
dexter,.github/workflows/rebase-on-label.yml,unpinned_action,P2,Accion no fijada por SHA: actions/github-script@v7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
dexter,.github/workflows/rebase-on-label.yml,unpinned_action,P2,Accion no fijada por SHA: actions/github-script@v7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
genai-code-review,.github/workflows/genai_code_review.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
genai-code-review,.github/workflows/genai_code_review.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
genai-code-review,.github/workflows/genai_code_review.yml,unpinned_action,P1,Accion no fijada por SHA: cirolini/genai-code-review@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: webfactory/ssh-agent@v0.9.0.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: webfactory/ssh-agent@v0.9.0.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: webfactory/ssh-agent@v0.9.0.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: mozilla-actions/sccache-action@v0.0.7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: webfactory/ssh-agent@v0.9.0.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: ilammy/msvc-dev-cmd@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: mozilla-actions/sccache-action@v0.0.7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/upload-artifact@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: webfactory/ssh-agent@v0.9.0.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
jcode,.github/workflows/release.yml,write_permission,P1,El workflow declara contents: write.,Justificar el permiso y limitarlo al job que lo necesita.
jcode,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: webfactory/ssh-agent@v0.9.0.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: mozilla-actions/sccache-action@v0.0.7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/upload-artifact@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: ilammy/msvc-dev-cmd@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: ilammy/msvc-dev-cmd@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: mozilla-actions/sccache-action@v0.0.7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/upload-artifact@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/download-artifact@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: softprops/action-gh-release@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P1,Accion no fijada por SHA: ilammy/msvc-dev-cmd@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P1,Accion no fijada por SHA: mozilla-actions/sccache-action@v0.0.7.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P2,Accion no fijada por SHA: actions/upload-artifact@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P1,Accion no fijada por SHA: ilammy/msvc-dev-cmd@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
jcode,.github/workflows/windows-smoke.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
